22,       85   ,1,       1000   ,       1   ,       0   
22,       84   ,1,       1000   ,       2   ,       0   
22,       86   ,1,       1000   ,       1   ,       0   
22,       84   ,1,       1000   ,       2   ,       0   
22,       84   ,1,       1000   ,       2   ,       0   
22,       85   ,1,       999   ,       2   ,       0   
22,       85   ,1,       999   ,       2   ,       0   
22,       85   ,1,       999   ,       2   ,       0   
22,       86   ,1,       999   ,       1   ,       0   
22,       85   ,1,       999   ,       2   ,       0
